language,country,main_group,subgroup,product-name,product-number,file-path
de,CH,pipeline-ancillaries,separators,s5,p023-11,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/s5-ti-p023-11-de.ashx?rev=c6bb66c4861a44d985315bfadde876d6
de,DE,pipeline-ancillaries,separators,s5,p023-11,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/s5-ti-p023-11-de.ashx?rev=c6bb66c4861a44d985315bfadde876d6
fr,FR,pipeline-ancillaries,separators,s5,p023-11,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/s5-ti-p023-11-fr.ashx?rev=a47860207b8f4ab185952a5d494add34
fr,FR,control-systems,pressure-reducing-and-surplussing-valves,s505-505z,r01-064,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/s505-505z-ti-r01-064-fr.ashx?rev=bb9e049d01124986b4a106d7ba6126be
it,IT,pipeline-ancillaries,separators,s5_filettati,p023-11,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/s5_filettati-ti-p023-11-it.ashx?rev=1eff77b2e93f4425a3e7344f323a9719
it,CH,pipeline-ancillaries,separators,s5_filettati,p023-11,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/s5_filettati-ti-p023-11-it.ashx?rev=1eff77b2e93f4425a3e7344f323a9719
de,CH,pipeline-ancillaries,separators,s6,p023-12,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/s6-ti-p023-12-de.ashx?rev=b4ff2d63109847669b111830d9d65f33
fr,CH,pipeline-ancillaries,separators,s6,p023-12,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/s6-ti-p023-12-fr.ashx?rev=75e201d24bbf4b69b32c7b756cae0819
fr,FR,pipeline-ancillaries,separators,s6,p023-12,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/s6-ti-p023-12-fr.ashx?rev=75e201d24bbf4b69b32c7b756cae0819
de,DE,pipeline-ancillaries,separators,s6,p023-12,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/s6-ti-p023-12-de.ashx?rev=b4ff2d63109847669b111830d9d65f33
it,CH,pipeline-ancillaries,separators,s6_filettati,p023-12,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/s6_filettati-ti-p023-12-it.ashx?rev=7a351d6f15d24bcf84c6d8859d66448d
it,IT,pipeline-ancillaries,separators,s6_filettati,p023-12,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/s6_filettati-ti-p023-12-it.ashx?rev=7a351d6f15d24bcf84c6d8859d66448d
fr,CH,pipeline-ancillaries,separators,s7,p138-03,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/s7-ti-p138-03-fr.ashx?rev=3cb8cad71f48458b81cad523e8fb95fb
fr,FR,pipeline-ancillaries,separators,s7,p138-03,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/s7-ti-p138-03-fr.ashx?rev=3cb8cad71f48458b81cad523e8fb95fb
de,DE,pipeline-ancillaries,separators,s7,p138-03,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/s7-ti-p138-03-de.ashx?rev=53bb70ee30ff42248bb657a29993f2aa
de,CH,pipeline-ancillaries,separators,s7,p138-03,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/s7-ti-p138-03-de.ashx?rev=53bb70ee30ff42248bb657a29993f2aa
it,IT,pipeline-ancillaries,separators,s7_flangiati,p138-03,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/s7_flangiati-ti-p138-03-it.ashx?rev=7260c2550a6a486fba6bbd5cee20a89d
it,CH,pipeline-ancillaries,separators,s7_flangiati,p138-03,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/s7_flangiati-ti-p138-03-it.ashx?rev=7260c2550a6a486fba6bbd5cee20a89d
fr,FR,pipeline-ancillaries,separators,s8,p138-10,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/s8-ti-p138-10-fr.ashx?rev=7a6710ca318248a5b668d7441c0296df
fr,CH,pipeline-ancillaries,separators,s8,p138-10,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/s8-ti-p138-10-fr.ashx?rev=7a6710ca318248a5b668d7441c0296df
de,DE,pipeline-ancillaries,separators,s8,p138-10,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/s8-ti-p138-10-de.ashx?rev=bc94da0201f040e5973972f2c54611ca
de,CH,pipeline-ancillaries,separators,s8,p138-10,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/s8-ti-p138-10-de.ashx?rev=bc94da0201f040e5973972f2c54611ca
it,IT,pipeline-ancillaries,separators,s8_flangiati,p138-10,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/s8_flangiati-ti-p138-10-it.ashx?rev=8aa65e5ddddb474aba11b9a79c3ecdfb
it,CH,pipeline-ancillaries,separators,s8_flangiati,p138-10,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/s8_flangiati-ti-p138-10-it.ashx?rev=8aa65e5ddddb474aba11b9a79c3ecdfb
it,IT,steam-traps,inverted-bucket-steam-traps,s_sf,p077-03,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/s_sf-ti-p077-03-it.ashx?rev=164ae91848974e2184b6afc9b737a92b
it,CH,steam-traps,inverted-bucket-steam-traps,s_sf,p077-03,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/s_sf-ti-p077-03-it.ashx?rev=164ae91848974e2184b6afc9b737a92b
de,CH,control-systems,self-acting-controls,sa120,1900,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/sa120-ti-1900-de.ashx?rev=f1b128000bf246b181302a9ab0f7963b
